,ID,Rate,Title,Vote,Year
0,tt0111161,9.3,The Shawshank Redemption,1718172,1994
1,tt0068646,9.2,The Godfather,1174396,1972
2,tt0071562,9.0,The Godfather: Part II,804768,1974
3,tt0468569,9.0,The Dark Knight,1704360,2008
4,tt0050083,8.9,12 Angry Men,457455,1957
5,tt0108052,8.9,Schindler's List,879846,1993
6,tt0110912,8.9,Pulp Fiction,1346128,1994
7,tt0167260,8.9,The Lord of the Rings: The Return of the King,1234671,2003
8,tt0060196,8.9,"The Good, the Bad and the Ugly",511481,1966
9,tt0137523,8.8,Fight Club,1371330,1999
10,tt0120737,8.8,The Lord of the Rings: The Fellowship of the Ring,1257328,2001
11,tt0080684,8.8,Star Wars: Episode V - The Empire Strikes Back,852316,1980
12,tt0109830,8.8,Forrest Gump,1275914,1994
13,tt1375666,8.8,Inception,1494900,2010
14,tt0167261,8.7,The Lord of the Rings: The Two Towers,1117984,2002
15,tt0073486,8.7,One Flew Over the Cuckoo's Nest,690376,1975
16,tt0099685,8.7,Goodfellas,740985,1990
17,tt0133093,8.7,The Matrix,1237553,1999
18,tt0047478,8.7,Seven Samurai,232908,1954
19,tt0076759,8.7,Star Wars: Episode IV - A New Hope,925378,1977
20,tt0317248,8.7,City of God,541304,2002
21,tt0114369,8.6,Se7en,1042588,1995
22,tt0102926,8.6,The Silence of the Lambs,904030,1991
23,tt0038650,8.6,It's a Wonderful Life,280095,1946
24,tt0114814,8.6,The Usual Suspects,753063,1995
